collection	filename	language	temp
arabic commentaries on the hippocratic aphorisms project	MS_Veliyeddin_Efendi_2509.2.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_2508_Veliyeddin_Efendi.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Or_43.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Veliyeddin_Efendi_2508.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Petermann_II_233.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_2837_fonds_arabe.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_574.2_Hekimoğlu_ʿAlī_Paşa.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_9452.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Arabe_2835.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_arabe_2838.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Arabe_2841.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Arabe_6734.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Ar_3802.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_OL_7785.66.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_árabe_790.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_árabe_791.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_árabe_818.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_1386_Dd_12.1.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_1632.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_1897.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_565_tibb.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_885.1.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_919.xml	ar	TRUE
arabic commentaries on the hippocratic aphorisms project	MS_Ar_1037.xml	ar	TRUE
