version_uri	date	century	author_lat	title_lat	tok_length	millionaire
0428IbnSina.AfcalWaInficalat.ALCorpus00001-ara2	428	5	Ibn Sina	Afcal Wa Inficalat	12348	FALSE
0275Ustath.FiKawnHayawan.ALCorpus00002-ara1	275	3	Ustath :: Usṭāṯ (Eustathius) ::   Usṭāṯ	Fi Kawn Hayawan	50415	FALSE
0275Ustath.FiAcdaHayawan.ALCorpus00003-ara1	275	3	Ustath :: Usṭāṯ (Eustathius) ::   Usṭāṯ	Fi Acda Hayawan	39964	FALSE
0428IbnSina.Nafs.ALCorpus00004-ara1	428	5	Ibn Sina	Nafs	54613	FALSE
0288ThabitIbnQurra.SanatShamsBiArsad.ALCorpus00005-ara1	288	3	Thabit Ibn Qurra :: Ṯābit ibn Qurraŧ ::   Ṯābit b. Qurraŧ	Sanat Shams Bi Arsad	8250	FALSE
0430IbnHaytham.Manazir.ALCorpus00006-ara2	430	5	Ibn Haytham	Manazir	136067	FALSE
0428IbnSina.KawnWaFasad.ALCorpus00007-ara1	428	5	Ibn Sina	Kawn Wa Fasad	24324	FALSE
0256IbnIshaqKindi.FiCaql.ALCorpus00008-ara1	256	3	Ibn Ishaq Kindi	Fi Caql	644	FALSE
0600NurDinBitruji.FiHaya.ALCorpus00009-ara1	600	7	Nur Din Bitruji	Fi Haya	28840	FALSE
0256IbnIshaqKindi.NawmWaRuya.ALCorpus00010-ara1	256	3	Ibn Ishaq Kindi	Nawm Wa Ruya	2431	FALSE
0339AbuNasrFarabi.CuyunMasail.ALCorpus00011-ara1	339	4	Abu Nasr Farabi	Cuyun Masail	650	FALSE
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1	428	5	Ibn Sina	Ilahiyyat	90907	FALSE
0273AbuMacsharBalkhi.MukhtasarMadkhal.ALCorpus00014-ara1	273	3	Abu Macshar Balkhi	Mukhtasar Madkhal	6180	FALSE
0322CabdAllahMahdi.KitabAsrar.AQ001-ara1	322	4	Cabd Allah Mahdi	Kitab Asrar	1868	FALSE
1313CorneliusVanDyck.CahdQadimWaJadid.BibleCorpus001-ara1	1313	14	Cornelius Van Dyck	al-ʿahd al-qadīm wa-al-jadīd ::	435315	FALSE
0595IbnRushdHafid.MaqalaFiBudhur.DARE00016-ara1	595	6	Ibn Rushd Hafid	Maqala Fi Budhur	1145	FALSE
0595IbnRushdHafid.MaqalaCalaSamacLiAristu.DARE00017-ara1	595	6	Ibn Rushd Hafid	Maqala Cala Samac Li Aristu	4679	FALSE
0595IbnRushdHafid.TalkhisCibara.DARE00018-ara1	595	6	Ibn Rushd Hafid	Talkhis Cibara	12843	FALSE
0595IbnRushdHafid.TalkhisKawnWaFasad.DARE00021-ara1	595	6	Ibn Rushd Hafid	Talkhis Kawn Wa Fasad	26125	FALSE
0595IbnRushdHafid.SharhMaBacdTabica.DARE00024-ara1	595	6	Ibn Rushd Hafid	Sharh Ma Bacd Tabica	283986	FALSE
0595IbnRushdHafid.TahafudTahafud.DARE00025-ara1	595	6	Ibn Rushd Hafid	Tahafud Tahafud	106150	FALSE
0595IbnRushdHafid.SharhBurhan.DARE00027-ara1	595	6	Ibn Rushd Hafid	Sharh Burhan	85363	FALSE
0625AbuMuhammadIbnRushd.HalYattasilBiCaql.DARE00101-ara1	625	7	Abu Muhammad Ibn Rushd	Hal Yattasil Bi Caql	1603	FALSE
0595IbnRushdHafid.TalkhisQiyas.DARE00107-ara1	595	6	Ibn Rushd Hafid	Talkhis Qiyas	57813	FALSE
0595IbnRushdHafid.TalkhisBurhan.DARE00108-ara1	595	6	Ibn Rushd Hafid	Talkhis Burhan	29470	FALSE
0595IbnRushdHafid.TalkhisSamaWaCalam.DARE00109-ara1	595	6	Ibn Rushd Hafid	Talkhis Sama Wa Calam	58635	FALSE
0595IbnRushdHafid.MaqayisMukhtalata.DARE00112-ara1	595	6	Ibn Rushd Hafid	Maqayis Mukhtalata	1624	FALSE
